,first_food,second_food,recipe,health,stamina,attack,defense
0,Jango Onion,Rare Onion,Jumbo Pizza,+0,+25,+0,+0
1,Jango Onion,Fatty Tomato,Gingi Ramen,+0,+50,+0,+0
2,Jango Onion,Silver Grass,Otsu Cake Balls,+50,+25,+0,+0
3,Jango Onion,Azuki,Guts’n’Chaofan,+50,+25,+0,+0
4,Jango Onion,Pickled Kezhu,Peppered Pasta,+0,+25,-3,+0
5,Jango Onion,Snake Meat,Fried Seafood,+0,+0,+3,+0
6,Jango Onion,Dragon Tail,Coro Croquettes,+0,+0,+5,+0
7,Jango Onion,Scale Fish,Shaky Tongue,+0,+25,+0,+10
8,Jango Onion,Snake Salmon,Overjoyed Pan,+0,+25,+0,-20
9,Jango Onion,Helodus,Overjoyed Pan,+0,+25,+0,+20
10,Jango Onion,RiceBug,Dokkan Soup,+10,+0,+0,+0
11,Jango Onion,GodBug,Surprise Stew,+0,+25,+0,+0
12,Jango Onion,Spice Worm,Jumbo Pizza,+10,+50,+0,+0
13,Jango Onion,Honey-Dragonfly,Gingi Ramen,+10,+25,+0,+0
14,Jango Onion,Red Oil,An An Zosui,+0,+25,+0,+0
15,Jango Onion,Lifejam,Dozuki Risotto,+0,+25,+0,+0
16,Jango Onion,Dry Margarine,Otsu Cake Balls,+0,+25,+0,-10
17,Jango Onion,Buffalo Butter,Guts’n’Chaofan,+0,+25,+0,+10
18,Jango Onion,Royale Cheese,Run Run Salad,+0,+0,+0,+10
19,Jango Onion,Blessed Wine,Peppered Pasta,+0,+25,-3,+0
20,Sliced Cactus,Rare Onion,Gingi Ramen,+0,+25,+0,+0
21,Sliced Cactus,Fatty Tomato,Smaley Curry,+0,+50,+0,+0
22,Sliced Cactus,Warwheat,Surprise Stew,+0,+25,+0,+0
23,Sliced Cactus,Mixed Beans,Dozuki Risotto,+0,+25,+0,+0
24,Sliced Cactus,Bread,Otsu Cake Balls,+10,+25,+0,+0
25,Sliced Cactus,Silver Grass,Guts’n’Chaofan,+50,+25,+0,+0
26,Sliced Cactus,Azuki,Run Run Salad,+50,+25,+0,+0
27,Sliced Cactus,Popo Meat,Peppered Pasta,+0,+25,+3,+0
28,Sliced Cactus,Pickled Kezhu,Fried Seafood,+0,+25,-3,+0
29,Sliced Cactus,Snake Meat,Coro Croquettes,+0,+25,+3,+0
30,Sliced Cactus,Dragon Tail,Shaky Tongue,+0,+25,+5,+0
31,Sliced Cactus,Scale Fish,Overjoyed Pan,+0,+25,+0,+10
32,Sliced Cactus,Sushi Fish,Shaky Tongue,+0,+25,+0,+0
33,Sliced Cactus,Snake Salmon,Dokkan Soup,+0,-25,+0,+20
34,Sliced Cactus,Sword Fish,Coro Croquettes,+0,+25,+0,-10
35,Sliced Cactus,RiceBug,Jumbo Pizza,-10,+25,+0,+0
36,Sliced Cactus,GodBug,Dozuki Risotto,+0,+25,+0,+0
37,Sliced Cactus,Spice Worm,Gingi Ramen,+0,+25,+0,+0
38,Sliced Cactus,Honey-Dragonfly,Smaley Curry,+20,+50,+0,+0
39,Sliced Cactus,Red Oil,Surprise Stew,+0,+25,+0,+0
40,Sliced Cactus,Lifejam,Otsu Cake Balls,+0,+50,+0,+0
41,Sliced Cactus,Dry Margarine,Guts’n’Chaofan,+0,+25,+0,-10
42,Sliced Cactus,Buffalo Butter,Run Run Salad,+0,+25,+0,+0
43,Sliced Cactus,Sake,Peppered Pasta,+0,+25,+3,+0
44,Sliced Cactus,Blessed Wine,Fried Seafood,+0,+25,+0,+0
