,id,item_name,quantity,rare,buy_price,selling_price
0,0001,Formulation I Introduction,1,4,1000z,100z
1,0002,Formulation II Beginner's edition,1,4,2000z,200z
2,0003,Formulation III Intermediate,1,4,5000z,500z
3,0004,Formulation IV Advanced Edition,1,5,10000z,1000z
4,0005,Formulation V Master Edition,1,5,15000z,1500z
5,0006,Formulation G / Alchemy,1,5,No Sale,2000z
6,0007,Recovery agents,10,1,66z,7z
7,0008,Recovery drug Great,10,2,No Sale,16z
8,0009,Nutritional supplement,5,2,760z,25z
9,000A,Nutritional supplement Great,5,3,No Sale,92z
10,000B,Antidote,10,1,60z,6z
11,000C,Vitalizer,10,3,No Sale,92z
12,000D,Fast-paced drug,5,2,No Sale,29z
13,000E,Fast-paced drug Great,5,3,No Sale,205z
14,000F,Demon medicine,5,4,No Sale,67z
15,0010,Demon Medicine Great,5,5,No Sale,283z
16,0011,Superhuman pills,5,1,No Sale,280z
17,0012,Hardener,5,4,No Sale,58z
18,0013,Hardener Great,5,5,No Sale,269z
19,0014,Patience pills,5,1,No Sale,260z
20,0015,Cooler drink,5,1,300z,30z
21,0016,Hot drink,5,1,250z,25z
22,0017,Clairvoyant medicine,3,3,300z,30z
23,0018,Monster body fluid,99,4,No Sale,500z
24,0019,Monster juice,99,5,No Sale,1000z
25,001A,Chinese herbal medicine,10,2,250z,25z
26,001B,Secret medicine,2,3,No Sale,210z
27,001C,Ancient secret medicine,1,5,No Sale,345z
28,001D,Enhancer,5,2,480z,48z
29,001E,Genki Drinko,10,2,No Sale,6z
30,001F,(dummy),10,5,No Sale,0z
31,0020,explosive,20,2,222z,22z
32,0021,Powder of life,10,3,No Sale,59z
33,0022,Dust of life,3,4,No Sale,315z
34,0023,Amulet of power,1,5,36000z,3600z
35,0024,Force claws,1,5,No Sale,6840z
36,0025,Amulet of protection,1,5,24000z,2400z
37,0026,Defensive claws,1,5,No Sale,5040z
38,0027,Capturing anesthetic,10,4,150z,15z
39,0028,Raw meat,10,1,No Sale,5z
40,0029,Conditioned meat,10,1,No Sale,12z
41,002A,Spicy raw meat,10,1,No Sale,20z
42,002B,Cool raw meat,10,1,No Sale,22z
43,002C,Poisonous raw meat,10,1,188z,19z
44,002D,Sweetbread raw meat,10,2,300z,30z
45,002E,Sleeping raw meat,10,1,315z,32z
46,002F,Raw grilled meat,10,1,No Sale,3z
47,0030,Brown meat,10,2,No Sale,48z
48,0031,Brown meat G,10,3,No Sale,64z
49,0032,Koge meat,10,1,No Sale,1z
50,0033,Hot meat,10,1,No Sale,25z
