,name,main,reward,area,full_reward,season,time,sub_a,sub_b,sub_a_reward,sub_b_reward,rank
0,Familiarize with the environments of the jungle!,Deliver Special Mushroom: X5,300z,Jungle,850z,warm,50,Deliver Royal Beetle (ロイヤルカブト): X2,Deliver Raw Meat (生肉): X4,450z,100z,1
1,Familiarize with the environments of the jungle!,Deliver Special Mushroom: X5,300z,Jungle,850z,cold,50,Deliver Royal Beetle (ロイヤルカブト): X2,Deliver Raw Meat (生肉): X4,450z,100z,1
2,Familiarize with the environments of the jungle!,Deliver Special Mushroom: X5,300z,Jungle,850z,breeding,50,Deliver Royal Beetle (ロイヤルカブト): X2,Deliver Raw Meat (生肉): X4,450z,100z,1
3,Habitat of the Blue hunter,Hunt the Velocidrome,600z,Jungle,1200z,warm,50,Hunt 8 Velociprey,Deliver Special Mushroom (特産キノコ): X5,300z,300z,1
4,Habitat of the Blue hunter,Hunt the Velocidrome,600z,Jungle,1400z,breeding,50,Deliver Carnivore Egg (肉食竜の卵): X1,Hunt 8 Velociprey,500z,300z,1
5,Hunt the boar boss!,Hunt the Bulldrome,700z,Jungle,1250z,cold,50,Hunt 8 Velociprey,Deliver Gold Fish (黄金魚): X1,300z,250z,1
6,Chasing the mysterious bird,Hunt the Yian Kut-Ku,1200z,Jungle,2100z,warm,50,Deliver Wyvern Tear (竜のナミダ): X1,Hunt 8 Vespoid,700z,200z,1
7,Chasing the mysterious bird,Hunt the Yian Kut-Ku,1200z,Jungle,1950z,breeding,50,Deliver Mature Mushroom (熟成キノコ): X1,Deliver Kelbi Horn (ケルビの角): X5,400z,350z,1
8,Sight of a blue mysterious bird,Hunt the Blue Yian Kut-Ku,1200z,Jungle,1200z,cold,50,No Sub,No Sub,0z,0z,1
9,The runnaway purple poison bird,Hunt the Purple Gypceros,1400z,Jungle,1400z,warm,50,No Sub,No Sub,0z,0z,1
10,Daimyo on the shore,Hunt the Daimyo Hermitaur,1800z,Jungle,2900z,warm,50,Deliver Zazamiso (ザザミソ): X4,Break the Daimyo's Shell,500z,600z,2
11,Territory of the pink beast,Hunt the Congalala,2000z,Jungle,3000z,cold,50,Hunt 2 Conga,Deliver Rare Mushroom (厳選キノコ): X2,400z,600z,2
12,Territory of the pink beast,Hunt the Congalala,2000z,Jungle,2800z,breeding,50,Deliver Territorial Dung (なわばりのフン): X1,No Sub,800z,0z,2
13,The land where the Queen dwells,Hunt the Rathian,2200z,Jungle,4400z,warm,50,Deliver Royal Beetle (ロイヤルカブト): X7,Cut off the Rathian's tail,600z,1600z,2
14,The land where the Queen dwells,Hunt the Rathian,2200z,Jungle,3700z,breeding,50,Deliver Wyvern Egg (飛竜の卵): X1,Deliver Carnivore Egg (肉食竜の卵): X1,1000z,500z,2
15,Cherry Blossom Wyvern of the jungle,Hunt the Pink Rathian,2200z,Jungle,2200z,cold,50,No Sub,No Sub,0z,0z,2
16,Jade sinking in the water,Hunt the Green Plesioth,2600z,Jungle,2600z,warm,50,No Sub,No Sub,0z,0z,3
17,Incessant Rain in the Jungle,Slay the Kushala Daora,3600z,Jungle,3600z,warm,50,No Sub,No Sub,0z,0z,4
18,The leaping hunter of the Desert,Hunt the Gendrome,800z,Desert,1600z,cold,50,Hunt 6 Genprey,Deliver Cactus (百花サボテン): X1,400z,400z,2
19,The leaping hunter of the Desert,Hunt the Gendrome,800z,Desert,2600z,breeding,50,Deliver Herbivore Egg Egg (草食竜の卵): X1,Hunt 4 Apceros,1500z,300z,2
20,The wyvern that swims in the sand,Hunt the Cephadrome,1600z,Desert,3200z,cold,50,Deliver Piscine Liver (魚竜のキモ): X3,Hunt 4 Cephalos,1000z,600z,2
21,The one who succeeds the dead,Hunt the Daimyo Hermitaur,1800z,Desert,2700z,breeding,50,Deliver Zazamiso (ザザミソ): X4,Hunt 6 Genprey,500z,400z,2
22,Cherry Blossom Blooming in the Desert,Hunt the Pink Rathian,2200z,Desert,2200z,breeding,50,No Sub,No Sub,0z,0z,2
23,Water wyvern of the underground lake,Hunt the Plesioth,2600z,Desert,3700z,breeding,50,Fish the Plesioth out of the water,Deliver Gold Fish (黄金魚): X2,600z,500z,3
24,Jade sinking in the water,Hunt the Green Plesioth,2600z,Desert,2600z,cold,50,No Sub,No Sub,0z,0z,3
25,Lone Wyvern,Hunt the Monoblos,3400z,Desert,5900z,breeding,50,Deliver Wyvern Tear (竜のナミダ): X1,Deliver Herbivore Egg Egg (草食竜の卵): X1,1000z,1500z,3
26,Fury of the white wyvern,Hunt the White Monoblos,3400z,Desert,3400z,cold,50,No Sub,No Sub,0z,0z,3
27,Extremly violent ceratopsian wyvern,Hunt the Diablos,3000z,Desert,4400z,cold,50,Break off both Diablos' horns,Deliver Secret Pouch (秘密のポーチ): X3,1000z,400z,3
28,Jet Black Ceratopsian Wyvern,Hunt the Black Diablos,3000z,Desert,3000z,breeding,50,No Sub,No Sub,0z,0z,3
