,first_food,second_food,recipe,health,stamina,attack,defense
0,Jango Onion,Matsutake,Smaley Curry,+0,+50,+0,+0
1,Jango Onion,Silver Grass,Otsu Cake Balls,-10,+25,+0,+0
2,Jango Onion,Azuki,Guts’n’Chaofan,-10,+25,+0,+0
3,Jango Onion,Popo Meat,Doku Doku Doria,+0,-25,+3,+0
4,Jango Onion,Pickled Kezhu,Peppered Pasta,+0,+25,+3,+0
5,Jango Onion,Scale Fish,Shaky Tongue,+0,+25,+0,+0
6,Jango Onion,Snake Salmon,Overjoyed Pan,+0,+25,+0,+10
7,Jango Onion,Helodus,Overjoyed Pan,+0,+25,+0,-10
8,Jango Onion,Sword Fish,Fried Seafood,+0,+0,+0,+20
9,Jango Onion,Honey-Dragonfly,Gingi Ramen,+0,+25,+0,+0
10,Jango Onion,Hercules Beetle,Smaley Curry,+10,+50,+0,+0
11,Jango Onion,Powerlad,Surprise Stew,+0,+25,+0,+0
12,Jango Onion,Lifejam,Dozuki Risotto,+10,+0,+0,+0
13,Jango Onion,Dry Margarine,Otsu Cake Balls,+0,+25,+0,+10
14,Jango Onion,Buffalo Butter,Guts’n’Chaofan,+0,+25,+0,-20
15,Jango Onion,Blessed Wine,Peppered Pasta,+0,+25,+3,+0
16,Jango Onion,Monster Egg,Coro Croquettes,+0,+0,+0,+10
17,Sliced Cactus,Matsutake,An An Zosui,+0,+50,+0,+0
18,Sliced Cactus,White Liver,Doku Doku Doria,+0,+0,+3,+0
19,Sliced Cactus,Dragon Tail,Shaky Tongue,+0,+0,+3,+0
20,Sliced Cactus,Helodus,Dokkan Soup,+0,+0,+0,+10
21,Sliced Cactus,Sword Fish,Coro Croquettes,+0,+0,+0,+20
22,Sliced Cactus,RiceBug,Jumbo Pizza,+10,+25,+0,+0
23,Sliced Cactus,Honey-Dragonfly,Smaley Curry,+10,+25,+0,+0
24,Sliced Cactus,Hercules Beetle,An An Zosui,+0,+25,+0,+0
25,Sliced Cactus,Powerlad,Dozuki Risotto,+0,+25,+0,+0
26,Sliced Cactus,Lifejam,Otsu Cake Balls,+30,+0,+0,+0
27,Sliced Cactus,Dry Margarine,Guts’n’Chaofan,+0,+0,+0,+10
28,Sliced Cactus,Sake,Peppered Pasta,+0,+0,+3,+0
29,Sliced Cactus,Monster Egg,Shaky Tongue,+0,+0,-3,+10
30,Rare Onion,Matsutake,Surprise Stew,+0,+50,+0,+0
31,Rare Onion,Mixed Beans,Otsu Cake Balls,+10,-25,+0,+0
32,Rare Onion,Azuki,Doku Doku Doria,+10,+25,+0,+0
33,Rare Onion,Snake Meat,Shaky Tongue,+0,-25,+3,+0
34,Rare Onion,Dragon Tail,Overjoyed Pan,+0,-25,+3,+0
35,Rare Onion,Scale Fish,Dokkan Soup,+0,+25,+0,+0
36,Rare Onion,Snake Salmon,Jumbo Pizza,+0,-25,+0,+10
37,Rare Onion,Sword Fish,Shaky Tongue,+0,-25,+0,+20
38,Rare Onion,GodBug,Otsu Cake Balls,+10,-25,+0,+0
39,Rare Onion,Powerlad,Otsu Cake Balls,-10,+25,+0,+0
40,Rare Onion,Lifejam,Guts’n’Chaofan,+30,-25,+0,+0
41,Rare Onion,Buffalo Butter,Doku Doku Doria,+0,+25,+0,+20
42,Rare Onion,Royale Cheese,Peppered Pasta,+0,-25,+0,+10
43,Rare Onion,Sake,Fried Seafood,+0,+0,+3,+0
44,Rare Onion,Gold Sake,Shaky Tongue,+0,-25,+3,+0
45,Rare Onion,Monster Egg,Overjoyed Pan,+0,-25,-3,+10
46,Rare Onion,Pig Cracker,Dokkan Soup,+0,+25,+3,+0
47,Fatty Tomato,Matsutake,Dozuki Risotto,+0,+25,+0,+0
48,Fatty Tomato,Warwheat,Otsu Cake Balls,+10,-50,+0,+0
49,Fatty Tomato,Mixed Beans,Guts’n’Chaofan,+10,-50,+0,+0
50,Fatty Tomato,Silver Grass,Doku Doku Doria,+10,+50,+0,+0
51,Fatty Tomato,Pickled Kezhu,Shaky Tongue,+0,-50,+3,+0
52,Fatty Tomato,Snake Meat,Overjoyed Pan,+0,-50,+3,+0
53,Fatty Tomato,Dragon Tail,Dokkan Soup,+0,+50,-3,+0
54,Fatty Tomato,Sushi Fish,Dokkan Soup,+0,+50,+0,+10
55,Fatty Tomato,Snake Salmon,Gingi Ramen,+0,-25,+0,+10
56,Fatty Tomato,Sword Fish,Overjoyed Pan,+0,-50,+0,+20
57,Fatty Tomato,RiceBug,Smaley Curry,+10,-25,+0,+0
58,Fatty Tomato,GodBug,Guts’n’Chaofan,+10,-50,+0,+0
59,Fatty Tomato,Red Oil,Otsu Cake Balls,+10,-50,+0,+0
60,Fatty Tomato,Lifejam,Run Run Salad,+10,-25,+0,+0
61,Fatty Tomato,Dry Margarine,Doku Doku Doria,+0,+50,+0,-10
62,Fatty Tomato,Sake,Coro Croquettes,+0,-25,+3,+0
63,Fatty Tomato,Blessed Wine,Shaky Tongue,+0,-50,+3,+0
64,Fatty Tomato,Gold Sake,Overjoyed Pan,+0,-50,+3,+0
65,Fatty Tomato,Monster Egg,Dokkan Soup,+0,+50,+3,-10
66,Matsutake,Warwheat,Guts’n’Chaofan,+10,+50,+0,+0
67,Matsutake,Mixed Beans,Run Run Salad,+0,+50,+0,+0
68,Matsutake,Silver Grass,Peppered Pasta,-10,+50,+0,+0
69,Matsutake,Azuki,Fried Seafood,+0,+50,+0,+0
70,Matsutake,White Liver,Coro Croquettes,+0,+50,+0,+0
71,Matsutake,Popo Meat,Shaky Tongue,+0,+50,-3,+0
72,Matsutake,Pickled Kezhu,Overjoyed Pan,+0,+50,+3,+0
73,Matsutake,Dragon Tail,Jumbo Pizza,+0,+50,+3,+0
74,Matsutake,Scale Fish,Gingi Ramen,+0,+50,+0,+0
75,Matsutake,Sushi Fish,Jumbo Pizza,+0,+50,+0,-10
76,Matsutake,Snake Salmon,Smaley Curry,+0,+50,+0,+10
77,Matsutake,Helodus,Smaley Curry,+0,+50,+0,-10
78,Matsutake,RiceBug,An An Zosui,+0,+50,+0,+0
79,Matsutake,GodBug,Run Run Salad,+0,+50,+0,+0
80,Matsutake,Spice Worm,Surprise Stew,-10,+25,+0,+0
81,Matsutake,Honey-Dragonfly,Dozuki Risotto,+0,+50,+0,+0
82,Matsutake,Hercules Beetle,Otsu Cake Balls,+10,+50,+0,+0
83,Matsutake,Red Oil,Guts’n’Chaofan,+10,+50,+0,+0
84,Matsutake,Powerlad,Run Run Salad,+0,+50,+0,+0
85,Matsutake,Dry Margarine,Peppered Pasta,+0,+50,+0,+10
86,Matsutake,Buffalo Butter,Fried Seafood,+0,+50,+0,-10
